Time,Resolution
00:00,2560x1440
00:01,2560x1440
00:02,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:03,2560x1440
00:04,1024x576
00:05,1024x576
00:06,1024x576
00:07,1024x576
00:07,1024x576
00:08,768x432
00:09,768x432
00:10,768x432
00:11,768x432
00:12,768x432
00:13,768x432
00:14,768x432
00:15,768x432
00:16,768x432
00:17,768x432
00:18,768x432
00:19,768x432
00:20,1024x576
00:21,1024x576
00:22,1024x576
00:23,1024x576
00:24,1024x576
00:25,1024x576
00:26,1024x576
00:27,1024x576
00:28,768x432
00:29,768x432
00:30,768x432
00:31,768x432
00:32,768x432
00:33,768x432
00:34,768x432
00:35,768x432
00:36,768x432
00:37,768x432
00:38,768x432
00:39,768x432
00:40,768x432
00:41,768x432
00:42,768x432
00:43,768x432
00:44,768x432
00:45,768x432
00:46,768x432
00:47,768x432
00:48,768x432
00:49,768x432
00:50,768x432
00:51,768x432
00:52,768x432
00:53,768x432
00:54,768x432
00:55,768x432
00:56,768x432
00:57,768x432
00:58,768x432
00:59,768x432
01:00,640x360
01:01,640x360
01:02,640x360
01:03,640x360
01:04,640x360
01:05,640x360
01:06,640x360
01:07,640x360
01:08,640x360
01:09,640x360
01:10,640x360
01:11,640x360
01:12,640x360
01:13,640x360
01:14,640x360
01:15,640x360
01:16,640x360
01:17,640x360
01:18,640x360
01:19,640x360
01:20,640x360
01:21,640x360
01:22,640x360
01:23,640x360
01:24,640x360
01:25,640x360
01:26,640x360
01:27,640x360
01:28,768x432
01:29,768x432
01:30,768x432
01:31,768x432
01:32,768x432
01:33,768x432
01:34,768x432
01:35,768x432
01:36,940x540
01:37,940x540
01:38,940x540
01:39,940x540
01:40,940x540
01:41,940x540
01:42,940x540
01:43,940x540
01:44,940x540
01:45,940x540
01:46,940x540
01:47,940x540
01:48,940x540
01:49,940x540
01:50,940x540
01:51,940x540
01:52,768x432
01:53,768x432
01:54,768x432
01:55,768x432
01:56,768x432
01:57,768x432
01:58,768x432
01:59,768x432
02:00,768x432
02:01,768x432
02:02,768x432
02:03,768x432
02:04,768x432
02:05,768x432
02:06,768x432
02:07,768x432
02:08,768x432
02:09,768x432
02:10,768x432
02:11,768x432
02:12,768x432
02:13,768x432
02:14,768x432
02:15,768x432
02:16,768x432
02:17,768x432
02:18,768x432
02:19,768x432
02:20,768x432
02:21,768x432
02:22,768x432
02:23,768x432
02:24,768x432
02:25,768x432
02:26,768x432
02:27,768x432
02:28,768x432
02:29,768x432
02:30,768x432
02:31,768x432
02:32,768x432
02:33,768x432
02:34,768x432
02:35,768x432
02:36,768x432
02:37,768x432
02:38,768x432
02:39,768x432
02:40,768x432
02:41,768x432
02:42,768x432
02:43,768x432
02:44,768x432
02:45,768x432
02:46,768x432
02:47,768x432
02:48,768x432
02:49,768x432
02:50,768x432
02:51,768x432
02:52,768x432
02:53,768x432
02:54,768x432
02:55,768x432
02:56,768x432
02:57,768x432
02:58,768x432
02:59,768x432
03:00,768x432
03:01,768x432
03:02,768x432
03:03,768x432
03:04,768x432
03:05,768x432
03:06,768x432
03:07,768x432
03:08,640x360
03:09,640x360
03:10,640x360
03:11,640x360
03:12,640x360
03:13,640x360
03:14,640x360
03:15,640x360
03:16,640x360
03:17,640x360
03:18,640x360
03:19,640x360
03:20,640x360
03:21,640x360
03:22,640x360
03:23,640x360
03:24,640x360
03:25,640x360
03:26,640x360
03:27,640x360
03:28,640x360
03:29,640x360
03:30,640x360
03:31,640x360
03:32,640x360
03:33,640x360
03:34,640x360
03:35,640x360
03:36,640x360
03:37,768x432
03:38,768x432
03:39,768x432
03:40,768x432
03:41,768x432
03:42,768x432
03:43,768x432
03:44,640x360
03:45,640x360
03:46,640x360
03:47,640x360
03:48,640x360
03:49,640x360
03:50,640x360
03:51,640x360
03:52,640x360
03:53,640x360
03:54,640x360
03:55,640x360
03:56,640x360
03:57,640x360
03:58,640x360
03:59,640x360
04:00,640x360
04:01,640x360
04:02,640x360
04:03,640x360
04:04,640x360
04:05,640x360
04:06,640x360
04:07,640x360
04:08,640x360
04:09,640x360
04:10,640x360
04:11,640x360
04:12,320x180
04:13,320x180
04:14,320x180
04:15,320x180
04:16,940x540
04:17,940x540
04:18,940x540
04:19,940x540
04:20,640x360
04:21,640x360
04:22,640x360
04:23,640x360
04:24,768x432
04:25,768x432
04:26,768x432
04:27,768x432
04:28,768x432
04:29,768x432
04:30,768x432
04:31,768x432
04:32,768x432
04:33,768x432
04:34,768x432
04:35,768x432
04:36,768x432
04:37,768x432
04:38,768x432
04:39,768x432
04:40,768x432
04:41,768x432
04:42,768x432
04:43,768x432
04:44,768x432
04:45,768x432
04:46,768x432
04:47,768x432
04:48,768x432
04:49,768x432
04:50,768x432
04:51,768x432
04:52,768x432
04:53,768x432
04:54,768x432
04:55,768x432
04:56,768x432
04:57,768x432
04:58,768x432
04:59,768x432
