Time,Download Rate,Buffer Length,Bitrate,Effective Bitrate
00:00,5.264901878914405,3.745,8.044112,0.334112
00:01,5.264901878914405,2.683,8.044112,0.513432
00:02,5.264901878914405,1.621,8.044112,0.334344
00:03,5.264901878914405,0.824,8.044112,0.534384
00:03,5.264901878914405,0.125,8.044112,0.796808
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,5.264901878914405,0.125,8.044112,0
00:03,1.463040799663508,4.067,8.044112,1.198384
00:04,1.463040799663508,3.087,2.988472,17.132592
00:05,1.463040799663508,2.298,2.988472,17.97528
00:06,1.463040799663508,1.236,2.988472,12.567168
00:07,1.463040799663508,0.155,2.988472,10.249512
00:07,1.463040799663508,0.155,2.988472,0
00:07,1.463040799663508,0.155,2.988472,0
00:08,2.9327160984558938,3.761,1.990936,5.547792
00:09,2.9327160984558938,2.694,1.990936,4.791496
00:10,2.9327160984558938,1.632,1.990936,4.494216
00:11,2.9327160984558938,0.84,1.990936,3.75152
00:12,2.223204022228103,3.761,1.990936,3.172648
00:13,2.223204022228103,2.697,1.990936,1.989648
00:14,2.223204022228103,1.636,1.990936,2.133808
00:15,2.223204022228103,0.84,1.990936,1.452376
00:15,2.223204022228103,0.118,1.990936,0.233272
00:15,2.223204022228103,0.118,1.990936,0
00:16,2.15125814863103,3.598,1.990936,4.622104
00:17,2.7676588486140723,6.536,1.990936,3.577472
00:18,2.6209970947123766,5.466,1.990936,2.839192
00:19,2.6209970947123766,4.677,1.990936,2.085856
00:20,2.6404979789814065,7.611,1.990936,2.289392
00:21,4.007461368653422,6.548,1.990936,0.687728
00:22,4.007461368653422,5.489,1.990936,1.126192
00:23,4.007461368653422,4.692,1.990936,0.457552
00:24,4.007461368653422,3.614,1.990936,1.326824
00:25,2.288272457142857,6.548,1.990936,0.668648
00:26,2.288272457142857,5.489,1.990936,0.155112
00:27,2.288272457142857,4.689,1.990936,1.440576
00:28,2.288272457142857,3.625,1.990936,3.323944
00:29,2.5212945495622705,6.562,1.990936,2.482112
00:30,2.5212945495622705,5.505,1.990936,2.125808
00:31,2.5212945495622705,4.707,1.990936,2.10228
00:32,2.5212945495622705,3.639,1.990936,2.89908
00:33,1.764495254529767,6.583,1.990936,2.192392
00:34,1.764495254529767,5.52,1.990936,1.914536
00:35,3.6723346613545815,8.716,1.990936,1.914232
00:36,3.5064831102613128,11.66,1.990936,2.780408
00:37,3.5064831102613128,10.598,1.990936,2.024
00:38,2.811131868131868,13.519,1.990936,1.684848
00:39,2.811131868131868,12.473,1.990936,1.683872
00:40,2.811131868131868,11.674,1.990936,1.899344
00:41,2.811131868131868,10.608,1.990936,1.305008
00:42,2.811131868131868,9.552,1.990936,1.156712
00:43,2.811131868131868,8.488,1.990936,1.157352
00:44,1.7810556304138594,11.692,1.990936,1.73396
00:45,1.7810556304138594,10.63,1.990936,1.16044
00:46,1.7810556304138594,9.562,1.990936,1.125344
00:47,2.4987347391786905,8.497,1.990936,1.479216
00:48,2.4987347391786905,7.705,2.988472,3.234408
00:49,2.4987347391786905,6.626,2.988472,2.224224
00:50,2.4987347391786905,5.567,2.988472,1.817888
00:51,2.4987347391786905,4.498,2.988472,1.709536
00:52,3.2557047289504037,3.708,2.988472,4.773704
00:53,5.202171428571429,6.614,2.988472,3.82084
00:54,5.202171428571429,5.546,2.988472,2.748872
00:55,3.4873999157184996,4.489,2.988472,2.759856
00:56,3.629493472584856,7.687,1.990936,2.292632
00:57,4.390469483568075,10.572,1.990936,1.678064
00:58,4.390469483568075,9.5,1.990936,2.020936
00:59,4.028502453385673,12.708,1.990936,2.1186
01:00,4.028502453385673,11.64,1.990936,1.857992
01:01,4.028502453385673,10.573,1.990936,0.156296
01:02,1.8120463499420625,13.52,1.990936,0.497184
01:03,1.8120463499420625,12.455,1.990936,0.425896
01:04,1.8120463499420625,11.657,1.990936,0.690376
01:05,1.8120463499420625,10.583,1.990936,1.271656
01:06,1.8120463499420625,9.508,1.990936,0.696272
01:07,1.8120463499420625,8.718,1.990936,1.056552
01:08,1.5340796616143815,11.661,1.990936,2.017048
01:09,1.5340796616143815,10.598,1.990936,1.320456
01:10,1.5340796616143815,9.533,1.990936,2.1842
01:11,1.5340796616143815,8.473,1.990936,2.625224
01:12,1.5340796616143815,7.641,1.990936,1.848232
01:13,2.263919235622859,10.476,1.990936,2.816952
01:14,2.263919235622859,9.516,1.990936,0.29344
01:15,2.1133091849935317,12.717,1.990936,1.360296
01:16,2.1133091849935317,11.661,1.990936,1.765552
01:17,0.6173580901856764,14.582,1.990936,1.080304
01:18,0.6173580901856764,13.516,1.990936,1.938696
01:19,0.6173580901856764,12.72,1.990936,3.818984
01:20,0.6173580901856764,11.468,0.79748,3.362896
01:21,0.6173580901856764,10.591,0.79748,3.39156
01:22,0.6173580901856764,9.51,0.79748,2.82812
01:23,1.313950860772188,8.454,0.79748,2.894552
01:24,3.406438529784537,7.649,1.990936,3.028744
01:25,3.406438529784537,6.59,1.990936,1.647064
01:26,2.9448923225494927,9.536,1.990936,1.381472
01:27,2.4239456398640997,12.473,1.990936,1.88932
01:28,2.4239456398640997,11.66,1.990936,1.203936
01:29,2.4239456398640997,10.589,1.990936,0.084376
01:30,0.9724983247030156,13.536,1.990936,0.53468
01:31,0.9724983247030156,12.456,1.990936,0.877064
01:32,0.9724983247030156,11.656,1.990936,1.31004
01:33,0.9724983247030156,10.574,1.990936,0.364992
01:34,0.9724983247030156,9.52,1.990936,2.265856
01:35,1.0831051253273476,12.455,1.990936,2.19984
01:36,1.0831051253273476,11.656,1.492648,0.96848
