time,tcp.stream,filePath,resolution
125.0,9.61485,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash41.m4s,7.0
126.0,0.079032,,7.0
127.0,2.74295,,7.0
128.0,7.5165,,7.0
129.0,0.0,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dashinit.mp4,6.0
130.0,0.0,,6.0
131.0,2.19249,,6.0
132.0,10.0077,,6.0
133.0,9.9961,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dashinit.mp4,7.0
134.0,0.308088,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash43.m4s,7.0
135.0,3.49605,,7.0
136.0,10.0061,,7.0
137.0,10.0193,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dashinit.mp4,6.0
138.0,6.44594,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dash44.m4s,6.0
139.0,1.96291,,6.0
140.0,10.0077,,6.0
141.0,9.99557,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dash45.m4s,6.0
142.0,3.41386,,6.0
143.0,4.42376,,6.0
144.0,10.0066,,6.0
145.0,10.0066,./server/videos/bbb_sunflower_1080p_30fps_normal_720_dash46.m4s,6.0
146.0,7.55259,,6.0
147.0,3.73338,,6.0
148.0,10.0066,,6.0
149.0,10.0066,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dashinit.mp4,7.0
150.0,10.0072,,7.0
151.0,9.99557,,7.0
152.0,8.84598,,7.0
153.0,10.0061,,7.0
154.0,10.0087,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash48.m4s,7.0
155.0,10.0082,,7.0
156.0,8.63159,,7.0
157.0,9.99451,,7.0
158.0,10.0093,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash49.m4s,7.0
159.0,4.73333,,7.0
160.0,10.0066,,7.0
161.0,9.9824,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash50.m4s,7.0
162.0,4.40448,,7.0
163.0,4.61702,,7.0
164.0,10.0066,,7.0
165.0,9.99662,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash51.m4s,7.0
166.0,7.52435,,7.0
167.0,3.97456,,7.0
168.0,10.0066,,7.0
169.0,10.0072,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash52.m4s,7.0
170.0,7.96926,,7.0
171.0,4.47168,,7.0
172.0,10.0066,,7.0
173.0,9.99662,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash53.m4s,7.0
174.0,8.21902,,7.0
175.0,3.7576,,7.0
176.0,10.0066,,7.0
177.0,10.0072,./server/videos/bbb_sunflower_1080p_30fps_normal_1080_dash54.m4s,7.0
