Time,Download Rate,Buffer Length,Bitrate,Effective Bitrate
00:00,0.2960019125029883,3.294,0.496592,0.298656
00:01,0.2960019125029883,2.325,0.496592,0.23424
00:02,0.2960019125029883,1.262,0.496592,0.120392
00:03,1.1617726918075422,4.2,0.496592,0.576096
00:04,3.291085324232082,7.327,0.496592,1.374152
00:05,3.291085324232082,6.341,0.496592,1.124968
00:06,3.291085324232082,5.278,0.496592,1.0026
00:07,3.9592097519966374,4.213,0.496592,0.956504
00:08,4.134814044213264,7.386,1.492648,3.471144
00:09,4.134814044213264,6.356,1.492648,2.486248
00:10,4.134814044213264,5.293,1.492648,1.966152
00:11,3.3418806682577564,4.231,1.492648,1.486616
00:12,3.3418806682577564,3.434,1.990936,3.160592
00:13,3.3418806682577564,2.37,1.990936,2.149456
00:14,4.423632707774799,5.309,1.990936,1.788632
00:15,3.7663485477178424,12.192,1.990936,2.202288
00:16,3.7663485477178424,11.183,1.990936,4.382072
00:17,3.7663485477178424,10.387,1.990936,3.437992
00:18,3.5792606363961386,13.325,1.990936,2.723056
00:19,3.5792606363961386,12.262,1.990936,2.685696
00:20,3.5792606363961386,11.2,1.990936,0.392424
00:21,3.5792606363961386,10.403,1.990936,0.4618
00:22,1.9583484662576687,9.34,1.990936,0.575872
00:23,1.9583484662576687,8.278,1.990936,0.211368
00:24,1.9583484662576687,7.216,3.48684,2.665392
00:25,1.9583484662576687,6.418,3.48684,0.843328
00:26,4.544137231215269,5.324,3.48684,0.241632
00:27,4.544137231215269,4.263,3.48684,5.333064
00:28,4.544137231215269,3.2,3.48684,4.180288
00:29,4.175169411764706,6.403,3.48684,4.62148
00:30,4.175169411764706,5.336,3.48684,3.931008
00:31,4.175169411764706,4.278,3.48684,3.358624
00:32,4.421043963712491,7.212,2.988472,5.018888
00:33,4.421043963712491,6.415,2.988472,3.508664
00:34,4.263077409162717,9.356,2.988472,3.040976
00:35,4.263077409162717,8.293,2.988472,4.6196
00:36,4.207555306007861,11.227,2.988472,2.637824
00:37,4.207555306007861,10.434,2.988472,3.14848
00:38,3.477003861003861,13.371,2.988472,2.574752
00:39,3.477003861003861,12.303,2.988472,3.741672
00:40,3.477003861003861,11.247,2.988472,1.602424
00:41,3.477003861003861,10.183,2.988472,1.913864
00:42,3.477003861003861,9.384,2.988472,1.6508
00:43,2.734640573532261,12.296,2.988472,2.82792
00:44,2.734640573532261,11.262,2.988472,1.444584
00:45,2.734640573532261,10.195,2.988472,1.687944
00:46,2.734640573532261,9.403,2.988472,1.618184
00:47,3.776542890716804,12.341,2.988472,2.568752
00:48,3.776542890716804,11.274,2.988472,2.311296
00:49,1.641737003058104,14.216,2.988472,2.24716
00:50,1.641737003058104,13.419,2.988472,1.783304
00:51,1.641737003058104,12.354,2.988472,3.6508
00:52,1.641737003058104,11.294,2.988472,3.356432
00:53,1.4776305732484076,14.189,2.988472,3.565392
00:54,1.4776305732484076,13.434,2.988472,2.958968
00:55,1.4776305732484076,12.352,2.988472,3.673296
00:56,1.4776305732484076,11.294,2.988472,2.179112
00:57,1.2313913043478262,10.231,2.988472,2.933144
00:58,1.2313913043478262,9.427,2.988472,3.242528
00:59,4.205192239858906,8.309,2.988472,2.86144
01:00,4.205192239858906,7.294,3.48684,2.914712
01:01,4.205192239858906,6.227,3.48684,0.360336
01:02,4.430397072278134,9.238,3.48684,0.966672
01:03,4.430397072278134,8.356,3.48684,1.525664
01:04,4.430397072278134,7.294,3.48684,1.193688
01:05,4.430397072278134,6.228,3.48684,1.831896
01:06,4.430397072278134,5.428,3.48684,1.352136
01:07,4.430397072278134,4.356,3.48684,2.74964
01:08,4.430397072278134,3.294,3.48684,2.631752
01:09,4.430397072278134,2.228,3.48684,2.791128
01:10,4.430397072278134,1.434,3.48684,3.800192
01:11,4.430397072278134,0.372,3.48684,4.407496
01:11,4.430397072278134,0.1,3.48684,0
01:11,4.430397072278134,0.1,3.48684,0
01:11,4.430397072278134,0.1,3.48684,0
01:11,4.430397072278134,0.1,3.48684,0
01:11,4.430397072278134,0.1,3.48684,0
01:11,4.430397072278134,0.1,3.48684,0
01:11,4.430397072278134,0.1,3.48684,0
01:11,4.430397072278134,0.1,3.48684,0
01:12,0.1464773606370876,3.767,0.79748,0.610064
