Time,Download Rate,Buffer Length,Bitrate,Effective Bitrate
00:00,0.6425407368967306,3.967,0.79748,0.11828
00:01,0.6425407368967306,3.17,0.79748,0.241672
00:02,0.6425407368967306,2.108,0.79748,0.225
00:03,2.626938117905529,5.045,0.79748,0.102568
00:04,2.626938117905529,3.983,0.79748,0.812912
00:05,2.626938117905529,2.92,0.79748,2.750968
00:06,1.8918293995859212,6.124,0.79748,1.827328
00:07,1.8918293995859212,5.061,0.79748,1.283288
00:08,1.8918293995859212,3.999,0.79748,1.864616
00:09,1.8918293995859212,2.936,0.79748,1.249008
00:10,2.3377910151402332,2.139,0.496592,1.094424
00:11,1.742776911076443,5.077,0.496592,0.852128
00:12,4.05054714064915,8.014,0.496592,0.93048
00:13,4.05054714064915,6.95,1.990936,0.563376
00:14,4.05054714064915,6.155,1.990936,0.532312
00:15,4.05054714064915,5.092,1.990936,0.418344
00:16,4.05054714064915,4.029,1.990936,1.156856
00:17,2.493010989010989,6.967,0.79748,1.542192
00:18,2.14948031496063,10.17,0.79748,1.34264
00:19,2.14948031496063,9.108,0.79748,1.033304
00:20,2.470809583858764,12.041,0.79748,0.894944
00:21,2.470809583858764,10.983,0.79748,0.188872
00:22,2.470809583858764,9.919,0.79748,0.216224
00:23,0.9838659217877095,13.122,0.79748,0.244008
00:24,0.9838659217877095,12.061,0.79748,0.331
00:25,0.9838659217877095,10.999,0.79748,0.54304
00:26,1.0340052356020943,13.932,0.79748,0.103088
00:27,1.0340052356020943,13.139,0.79748,0.06096
00:28,1.0340052356020943,12.074,0.79748,1.74316
00:29,1.0340052356020943,11.011,0.79748,0.958456
00:30,0.6280527023393385,13.952,0.79748,0.877808
00:31,0.6280527023393385,13.155,0.79748,0.8096
00:32,0.6280527023393385,12.09,0.79748,1.143728
00:33,0.6280527023393385,11.03,0.79748,0.700416
00:34,0.6280527023393385,9.967,0.79748,0.805464
00:35,1.2178665601278467,9.17,0.79748,0.716928
00:36,1.2178665601278467,8.108,0.79748,1.689696
00:37,2.0264109589041097,7.045,1.492648,1.325848
00:38,2.0264109589041097,5.979,1.492648,1.507864
00:39,2.7177976257772753,8.916,1.492648,1.134024
00:40,2.7177976257772753,8.124,1.492648,1.775032
00:41,2.2594135523613965,7.061,1.492648,0.888944
00:42,2.2594135523613965,5.996,1.492648,1.043184
00:43,3.302588488434642,8.933,1.492648,0.868888
00:44,3.302588488434642,8.139,1.492648,1.703936
00:45,3.594632478632479,7.077,1.990936,1.008808
00:46,3.594632478632479,10.014,1.990936,1.197896
00:47,3.594632478632479,8.952,1.990936,1.046496
00:48,3.642429577464789,12.155,1.990936,2.40384
00:49,1.6267946167349328,14.936,1.990936,1.74716
00:50,1.6267946167349328,14.029,1.990936,1.319496
00:51,1.6267946167349328,12.967,1.990936,1.304112
00:52,1.6267946167349328,12.17,1.990936,2.23268
00:53,1.6267946167349328,11.102,1.990936,2.251344
00:54,1.6267946167349328,10.045,1.990936,2.423568
00:55,1.6267946167349328,8.983,1.990936,1.699248
00:56,1.6267946167349328,7.919,1.990936,2.573656
00:57,1.6267946167349328,7.119,1.990936,1.529488
00:58,1.6267946167349328,6.061,1.990936,1.694952
00:59,1.32338398188182,4.999,1.990936,2.220576
01:00,3.170116305587229,3.936,1.492648,2.530176
01:01,2.776405268490375,7.139,1.492648,0.525392
01:02,2.776405268490375,6.077,1.492648,0.29348
01:03,3.3134295081967213,9.01,1.492648,0.558504
01:04,2.9095094339622642,11.928,1.492648,0.590704
01:05,2.9095094339622642,11.151,1.492648,0.673032
01:06,3.613802002224694,14.091,1.492648,0.639296
01:07,3.613802002224694,13.021,1.492648,0.570968
01:08,3.613802002224694,11.967,1.492648,1.595472
01:09,3.613802002224694,11.17,1.492648,0.771728
01:10,3.613802002224694,10.108,1.492648,1.178664
01:11,3.613802002224694,9.045,1.492648,1.778992
01:12,3.613802002224694,7.979,1.492648,1.85796
01:13,3.613802002224694,7.186,1.492648,1.456248
01:14,1.5816070528967254,10.124,1.492648,1.387264
01:15,1.5816070528967254,9.058,1.492648,0.1862
01:16,2.7216930063578566,11.997,1.492648,1.887392
01:17,2.164537704918033,14.936,1.492648,0.515856
01:18,2.164537704918033,14.139,1.492648,1.099112
01:19,2.164537704918033,13.071,1.492648,1.95192
01:20,2.164537704918033,12.014,1.492648,3.74496
01:21,2.164537704918033,10.952,1.492648,2.907376
01:22,0.8894894991922455,13.962,1.492648,3.191672
01:23,0.8894894991922455,13.092,1.492648,2.972016
01:24,0.8894894991922455,12.03,1.492648,3.156584
01:25,0.8894894991922455,10.967,1.492648,1.173984
01:26,0.590276889134032,14.164,1.492648,1.163776
01:27,0.590276889134032,13.108,1.492648,1.126296
01:28,0.590276889134032,12.043,1.492648,1.719824
01:29,0.590276889134032,10.983,1.492648,0.15336
01:30,0.590276889134032,10.179,1.492648,0.208952
01:31,0.590276889134032,9.1,1.492648,0.499016
01:32,0.9438056329309811,8.041,1.492648,1.257384
01:33,3.80962982689747,6.959,1.990936,0.135
01:34,3.710865979381443,10.061,1.990936,1.132952
01:35,3.710865979381443,9.092,1.990936,1.370968
01:36,3.710865979381443,8.005,1.990936,2.030672
01:37,2.7459824915824917,10.967,1.990936,0.33464
01:38,2.7459824915824917,10.163,1.990936,0.372816
01:39,2.7459824915824917,9.083,1.990936,0.453584
01:40,2.7459824915824917,8.024,1.990936,1.937112
01:41,2.7459824915824917,6.96,1.990936,1.5488
01:42,1.743066141405764,10.108,1.990936,0.749936
01:43,1.743066141405764,9.085,1.990936,0.446656
01:44,1.743066141405764,7.999,1.990936,2.365256
01:45,1.743066141405764,7.184,1.990936,1.514288
01:46,1.9893123524783636,10.104,1.990936,2.687304
01:47,1.9893123524783636,9.045,1.990936,1.376968
01:48,3.769283607979185,11.923,1.990936,2.624504
01:49,3.769283607979185,11.157,1.990936,1.459928
01:50,3.769283607979185,10.071,1.990936,2.106264
01:51,3.769283607979185,8.992,1.990936,1.825224
01:52,3.769283607979185,7.936,1.990936,2.202768
01:53,3.066601454064772,11.112,1.990936,1.889064
01:54,3.066601454064772,10.056,1.990936,1.409112
01:55,4.287906899418122,12.919,1.990936,1.52168
01:56,4.287906899418122,11.919,1.990936,2.566448
01:57,4.287906899418122,11.122,1.990936,3.122976
01:58,4.287906899418122,10.041,1.990936,1.973768
01:59,1.5823464203233257,8.976,1.990936,1.315736
02:00,1.5823464203233257,11.92,1.990936,3.302016
02:01,1.5823464203233257,11.12,1.990936,2.874304
02:02,1.5823464203233257,10.045,1.990936,2.379928
02:03,1.8457257318952234,12.964,1.990936,3.609512
02:04,1.8457257318952234,12.166,1.990936,4.84676
